experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,20,19,0.026984947971222827,0.3207365813968044,0.04943961739564605,0.03956730694652956,0.05944787033364815,0.42835811553902414,1,2,10
1vR,tafeng,top,20,19,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,20,18,0.02768654967594032,0.3115717849446983,0.05048940031899098,0.04054519459351801,0.060113123574860323,0.41819189742580987,1,2,10
1vR,tafeng,top,20,18,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,10,5,0.05075249866965928,0.15780343623057835,0.07544492088330108,0.07000966737517435,0.06490019456257778,0.23231700570597627,1,2,10
1vR,tafeng,top,10,5,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,20,9,0.03877421716742716,0.21773321053996297,0.06502066883680065,0.05546911044415889,0.06627807091165129,0.30858987312345204,1,2,10
1vR,tafeng,top,20,9,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,20,15,0.03031234129199095,0.28434116290090394,0.05432824917472765,0.04418202624181706,0.062431973111805865,0.3874339464060586,1,2,10
1vR,tafeng,top,20,15,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,10,8,0.040447419741127366,0.20109614807087423,0.06645071366727207,0.057518573289466794,0.06556815029033958,0.2881122860258903,1,2,10
1vR,tafeng,top,10,8,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,30,20,0.026892620355978156,0.3368159665337496,0.0494829745019206,0.03947759346464134,0.06005031066086566,0.44571522776215056,1,2,10
1vR,tafeng,top,30,20,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,20,3,0.06549178446783081,0.12188732218059567,0.08332007045716687,0.08576304017153079,0.06095550536319127,0.18392181758031492,1,2,10
1vR,tafeng,top,20,3,0.03140096618357488,0.04710144927536232,0.03599033816425121,0.03947019164410469,0.024656502917372484,0.06521739130434782,1,2,10
1vR,coop,top,10,6,0.046424544654664605,0.17324987750327975,0.07205716212544416,0.06490498054352084,0.06550600257746163,0.25252501303997343,1,2,10
1vR,tafeng,top,10,6,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,20,16,0.029396606752182974,0.2939887876539015,0.053026856844474494,0.042922543580867396,0.06172806334222187,0.3982528768519595,1,2,10
1vR,tafeng,top,20,16,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,10,3,0.06432526699016337,0.11941059320024658,0.08177459549738937,0.08421515050089187,0.0597743556015641,0.18118450376973777,1,2,10
1vR,tafeng,top,10,3,0.03333333333333333,0.038461538461538464,0.03179487179487179,0.03830938292476754,0.020532800532800533,0.06153846153846154,1,2,10
1vR,coop,top,30,19,0.027584998421788093,0.3282330273149722,0.0505455304499515,0.040448653434644044,0.060791347604835656,0.43629769301309596,1,2,10
1vR,tafeng,top,30,19,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,20,14,0.03131325202368021,0.2742643574360029,0.0557139962025022,0.04554957792110494,0.06311314732384074,0.3756046530342182,1,2,10
1vR,tafeng,top,20,14,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,20,12,0.03372166194811735,0.2530288534616107,0.058921318783980936,0.04880710145096373,0.06449845727813679,0.3508105256569594,1,2,10
1vR,tafeng,top,20,12,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,10,9,0.03811625007746208,0.2132904989963172,0.06387613515737181,0.05451690568090758,0.065052094190525,0.30314381905258664,1,2,10
1vR,tafeng,top,10,9,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,20,17,0.028519869714255703,0.303135701576345,0.0517428087840472,0.04170763358062045,0.060949400521150596,0.4088214518825833,1,2,10
1vR,tafeng,top,20,17,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,20,11,0.03521620791204396,0.24214733416189055,0.06083792639080949,0.050808170589284773,0.06524334110992992,0.33787251544603497,1,2,10
1vR,tafeng,top,20,11,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,10,10,0.036237440166028534,0.22560734664200927,0.061724575461594745,0.05207189093272583,0.0645996913273309,0.3183492183918947,1,2,10
1vR,tafeng,top,10,10,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,16,0.028754017192302556,0.2864170894779269,0.051825569711218204,0.04197326510123556,0.06026854622746404,0.3901639085147075,1,2,10
1vR,tafeng,top,10,16,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,14,0.03069859147198043,0.26761186716613716,0.05457524142620638,0.04464379637461858,0.06175358374292067,0.3683120742251095,1,2,10
1vR,tafeng,top,10,14,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,15,0.029670635123714907,0.2770836296963662,0.05313429336822491,0.04323531757192137,0.060993897802183915,0.3794158091896249,1,2,10
1vR,tafeng,top,10,15,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,7,0.04301928636534354,0.18710781291984763,0.06893954846441924,0.06072773568185313,0.06553044033958252,0.2705043703668579,1,2,10
1vR,tafeng,top,10,7,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,12,0.03316164690696436,0.2478148165710402,0.0579002218814443,0.047985418563863874,0.0633170903043283,0.34486383106516827,1,2,10
1vR,tafeng,top,10,12,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,11,0.03458915878423678,0.23692446299018446,0.05971293596121704,0.04989252112591916,0.06397533339771778,0.33197401488927875,1,2,10
1vR,tafeng,top,10,11,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,19,0.02649845272539842,0.31353628273823636,0.04850321970732674,0.038842321861195135,0.058254804306073986,0.4205272891080658,1,2,10
