dataset,model_name,split_type,pred_length,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score,mean_f05_score,std_f05_score,mean_f2_score,std_f2_score,mean_hit_score,std_hit_score
tafeng,markov,split_80,8,0.07835153504618815,0.156292804196059,0.08941370138497452,0.19378766386261495,0.0706791016548404,0.13352611226240407,0.08620167740826931,0.16354372729997046,0.04590727960011334,0.09000951400911412,0.2951833848873177,0.45622596415511973
tafeng,markov,split_80,9,0.0780323913333193,0.15522557890928662,0.09231633995986929,0.19568162223731103,0.07157435670240604,0.1336780375552898,0.08649783152133929,0.16309574487346482,0.046915455294454546,0.0903256704679943,0.30181175430844015,0.459145484999927
tafeng,markov,split_80,10,0.07734500487483253,0.15395135160652254,0.09495313208101328,0.198970823227169,0.07182125409105107,0.13328569906178617,0.08616232877194131,0.16207367510444662,0.04752470004954828,0.09047157344065807,0.30623066725585507,0.4610285983751528
tafeng,markov,split_80,11,0.07687901041855968,0.15261391478442082,0.09778670255514418,0.2022246762822277,0.07212613520030006,0.1325355662389545,0.08597979769247815,0.16073015948812566,0.04814819420544379,0.09035373655837872,0.31374281926646047,0.46411576953764333
tafeng,markov,split_80,12,0.07662458815795094,0.15187813672550302,0.09939492739359436,0.20336091337953166,0.07236460669959223,0.13224354157240795,0.08591947270670089,0.1600836830652225,0.048550823794762596,0.09033795180069083,0.3177198409191339,0.4656927919474088
tafeng,markov,split_80,13,0.0764036425105802,0.15122714931292877,0.10090497298587073,0.2048987621463236,0.07257379127650256,0.1319915524325378,0.08585672278023897,0.1594827219586542,0.04892812262232321,0.09041894630988866,0.32169686257180735,0.46723062616107747
tafeng,markov,split_80,14,0.07613656535441775,0.1507869084761194,0.10171813929616476,0.20542701913550895,0.07258743151783595,0.131741774135938,0.08567027600925128,0.15903876601141098,0.04908880628624898,0.09035166415537375,0.32346442775077333,0.46790163052422135
tafeng,markov,split_80,15,0.07586511784479084,0.15040324127222607,0.10237791149209062,0.20567567870416043,0.07251629301714951,0.13141101157333485,0.08543625868277968,0.15859313927352175,0.04917855516254258,0.09020011277493367,0.3256738842244808,0.4687296578912022
tafeng,markov,split_80,16,0.07582276992904477,0.1502568744097438,0.10325423574088682,0.20704962294425766,0.07265784970836994,0.131458246703091,0.08546469154652238,0.15849181655490827,0.049398236153103486,0.09040793228207514,0.32744144940344677,0.46938353667951627
tafeng,markov,split_80,17,0.07564731309142683,0.15010284475604457,0.10362650058509158,0.20731993340384264,0.07260268512720544,0.13138843616327042,0.08530902178263859,0.15834099699087725,0.04944161573273894,0.09040353976680507,0.32832523199292973,0.46970763929741727
tafeng,markov,split_80,18,0.07549857190398117,0.14996039782552073,0.10391883112488123,0.20760657183749173,0.07254594586660121,0.1313115312196945,0.08517247922128489,0.15819135362971004,0.049466931523221326,0.0903992303990565,0.32832523199292973,0.46970763929741727
tafeng,markov,split_80,19,0.07533060152878704,0.1498103541077925,0.10419427669860343,0.20791978805686445,0.07245663792542653,0.13118028613828847,0.08500412485964355,0.15800323859854232,0.04947455058032151,0.09037307100480248,0.32832523199292973,0.46970763929741727
tafeng,markov,split_80,20,0.07529455250211076,0.1498256534825603,0.10452165259270492,0.20822475906001495,0.0724811315626175,0.13122930440874286,0.0849861515934462,0.15803877317276804,0.04953794499663561,0.09042388894418303,0.3287671232876712,0.4698689831281812
tafeng,markov,split_90,2,0.10594876248371689,0.2336285953619482,0.05547947433864365,0.16058217839691605,0.06306139994736952,0.1534169011810141,0.09345499713008679,0.21086552856244214,0.034168597181060904,0.09131537701733995,0.1862787668258793,0.3894160172688253
