model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score
clf,10,1,5.0,0.2102503157507972,0.426439239646979,0.1425240303964534,0.9159877800407332
clf,10,1,6.0,0.2299372854336502,0.4094874405974202,0.1638253733793845,0.939511201629328
clf,10,1,7.0,0.2457329617916309,0.3940767141887304,0.1835193064538976,0.954887983706721
clf,10,1,8.0,0.2588402324492832,0.3805838424983027,0.2021654338596663,0.9652749490835032
clf,10,1,9.0,0.2704397944222431,0.3694260579316587,0.2204923495258892,0.9730142566191446
clf,10,1,10.0,0.280493486673698,0.359770027155465,0.2381981625113907,0.9786150712830958
clf,10,1,11.0,0.2888454339344177,0.3507142967351724,0.2550399094820904,0.9822810590631365
clf,10,1,12.0,0.2959317771538525,0.3423323612911189,0.2712826220887114,0.9856415478615072
clf,10,1,13.0,0.3015725585665137,0.3342686242813534,0.2865482658756671,0.9879837067209776
clf,10,1,14.0,0.3058087074346841,0.326193044057097,0.3008168606148238,0.989409368635438
clf,10,1,15.0,0.3101498675984387,0.3196117231376905,0.3154053383467238,0.990631364562118
clf,10,1,16.0,0.3129309773048304,0.3125572424859594,0.3286414737617419,0.9917515274949084
clf,10,1,17.0,0.3159673418712067,0.3066591653324911,0.3423787683717776,0.9932790224032586
clf,10,1,18.0,0.3185182110533833,0.3011185852172134,0.3557682415277305,0.9942973523421588
clf,10,1,19.0,0.3202695925253192,0.2955913166044051,0.3683443396554538,0.995315682281059
clf,10,1,20.0,0.3215283571951863,0.2902407967201731,0.3804574380006821,0.9963340122199592
clf,10,2,2.0,0.1222304609731248,0.5283091704555203,0.0697703997867238,0.7653770266792486
clf,10,2,3.0,0.1618556068034551,0.4970404049069228,0.097981582732178,0.8499613965857424
clf,10,2,4.0,0.1929721182863847,0.4714191758885934,0.1234264384603914,0.8968859912498928
clf,10,2,5.0,0.2175803362413573,0.4491149809842441,0.146567720418172,0.927682937290898
clf,10,2,6.0,0.2381814495497264,0.4311372279889051,0.1685115167995961,0.9472420005147122
clf,10,2,7.0,0.2548270255123022,0.4150892372047042,0.188850266503726,0.9616539418375224
clf,10,2,8.0,0.2693198078532326,0.4017633998782665,0.2086268440687526,0.9720339710045466
clf,10,2,9.0,0.2812762333906506,0.3896760036547289,0.2272745331312564,0.9787252294758514
clf,10,2,10.0,0.2914040397447144,0.3786726008352499,0.2451905831719326,0.983271853821738
clf,10,2,11.0,0.2999544904314171,0.3687823281157757,0.2623078491678244,0.9865316976923736
clf,10,2,12.0,0.3071598816042285,0.3596208410654666,0.2787667622158816,0.9887621171828086
clf,10,2,13.0,0.3130781125408485,0.3510142593483075,0.2944251651793699,0.9906493952131766
clf,10,2,14.0,0.3177670972923003,0.3427732081287884,0.3092275412570313,0.991764604958394
clf,10,2,15.0,0.3220625168687527,0.3355492633909036,0.3238909228644476,0.9933087415286952
clf,10,2,16.0,0.3250511228260169,0.328119893341434,0.337502371017749,0.9944239512739128
clf,10,2,17.0,0.3281267153333177,0.3217755609786527,0.3514306132182523,0.9954533756541134
clf,10,2,18.0,0.3305926661472475,0.3157781547243951,0.3647665520021944,0.9960538732092306
clf,10,2,19.0,0.3323012309500116,0.3098446669774047,0.3773886479839093,0.9965685853993308
clf,10,2,20.0,0.3341788706478675,0.3046706807120931,0.3903746892120533,0.9969117268593978
clf,20,0,2.0,0.1108389961446222,0.4690934065934066,0.0635623714674491,0.7087912087912088
clf,20,0,3.0,0.1479349181854521,0.4468864468864469,0.090091333345782,0.8131868131868132
clf,20,0,4.0,0.1768291804325744,0.4242788461538461,0.1140455961715912,0.8646978021978022
clf,20,0,5.0,0.2008648275735861,0.408379120879121,0.1365271027937541,0.9052197802197802
clf,20,0,6.0,0.2177961936828208,0.3896520146520146,0.1555209799317571,0.9271978021978022
clf,20,0,7.0,0.23336730699941,0.3756868131868131,0.1747146720457786,0.9464285714285714
clf,20,0,8.0,0.2460229268955479,0.3629807692307692,0.1926694918402867,0.9656593406593408
clf,20,0,9.0,0.2567733293009775,0.3524877899877899,0.2096831839321516,0.9697802197802198
clf,20,0,10.0,0.2665358838505774,0.3433379120879121,0.2267782805079126,0.9773351648351648
clf,20,0,11.0,0.2748026516068321,0.3346028971028971,0.2433060913869732,0.9828296703296704
clf,20,0,12.0,0.2828702567616191,0.3280105311355311,0.260110226095724,0.9855769230769232
clf,20,0,13.0,0.2884102531713593,0.320160608622147,0.2750296215412159,0.988324175824176
clf,20,0,14.0,0.2943681541968364,0.3144132653061224,0.2906740060622004,0.9903846153846154
clf,20,0,15.0,0.2990314384425205,0.3086080586080586,0.3053300203456008,0.992445054945055
clf,20,0,16.0,0.3030348161945173,0.3031850961538461,0.3194817294940362,0.9945054945054944
clf,20,0,17.0,0.3059659292652141,0.2977537168713639,0.3324482053357094,0.9951923076923076
clf,20,0,18.0,0.3085054689922308,0.2923534798534798,0.345581253017641,0.9958791208791208
clf,20,0,19.0,0.3104084638773978,0.287340948525159,0.3577290999132476,0.996565934065934
clf,20,0,20.0,0.310786885955142,0.2814217032967033,0.3683381408268109,0.9972527472527472
clf,20,1,2.0,0.1198230643137329,0.5083254294446201,0.0685750826671951,0.7412793761197176
clf,20,1,3.0,0.156440950287379,0.4724242104893385,0.0950581311854778,0.8324375592791653
clf,20,1,4.0,0.186917376602789,0.44878280113816,0.1201364048812295,0.8866055432606176
clf,20,1,5.0,0.2104584002895721,0.4276846875329329,0.1425496230431861,0.9193803351248816
clf,20,1,6.0,0.2300318711015539,0.4102820810060772,0.1637604120513912,0.938665823585204
clf,20,1,7.0,0.2463901548968026,0.3957740541679839,0.1838512291001866,0.9547897565602276
