model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score,avg_training_time_seconds,avg_pred_time_seconds
top,10,1,18,0.31010045107097917,0.2922857618567155,0.34827607930202026,0.9957230142566191,0.42578829358452136,4.990122199592668e-06
top,10,1,19,0.31245920053728393,0.28756214017522047,0.3613614111318685,0.9964358452138493,0.42578829358452136,4.99877800407332e-06
top,10,1,20,0.31493066314836105,0.28354777636345074,0.3746897002664232,0.9970468431771894,0.42578829358452136,4.983604887983707e-06
top,10,2,2,0.0922521178063292,0.39998319045217684,0.05266481589895556,0.6318709026727181,0.41482138670364765,9.21667507144058e-06
top,10,2,3,0.12789123615267403,0.3926290132795428,0.0774888384150158,0.7586989409984871,0.41482138670364765,6.22306269961338e-06
top,10,2,4,0.15792684149976202,0.3851067406286771,0.10116442599039979,0.8419062027231468,0.41482138670364765,5.4699949571356536e-06
top,10,2,5,0.1828002658541891,0.3764414187258363,0.12338187303634006,0.8885526979324256,0.41482138670364765,5.179946209446966e-06
top,10,2,6,0.204022889164984,0.3685773519358996,0.1446704914180624,0.9216675071440579,0.41482138670364765,5.498066902000337e-06
top,10,2,7,0.22227960375921094,0.36098303836579165,0.16522013687730838,0.9425953941838965,0.41482138670364765,4.923684652882837e-06
top,10,2,8,0.23758354325135939,0.35348477935467343,0.1846171304946208,0.9578080349638595,0.41482138670364765,5.461085896789377e-06
top,10,2,9,0.25077972222639183,0.34643294057691437,0.20333070469241146,0.9674735249621785,0.41482138670364765,5.366616238023196e-06
top,10,2,10,0.2620279150014241,0.3396316107549088,0.22125193056832632,0.9754580601781812,0.41482138670364765,4.82736594385611e-06
top,10,2,11,0.27212652851302854,0.3335587795686131,0.23895255624534514,0.980164733568667,0.41482138670364765,4.776264918473693e-06
top,10,2,12,0.2808125600620295,0.3277448408878061,0.255997396895734,0.9843671205244579,0.41482138670364765,4.757354177172634e-06
top,10,2,13,0.28731468953615025,0.3211891172367723,0.27144251070297354,0.9880652210455538,0.41482138670364765,4.759455370650529e-06
top,10,2,14,0.29374543478261345,0.3158714814350215,0.2872869971003453,0.9906707009581442,0.41482138670364765,4.73693057656749e-06
top,10,2,15,0.2984778333828835,0.30997933469567357,0.3017696655113971,0.9917633215666498,0.41482138670364765,5.308034963859472e-06
top,10,2,16,0.3026871797869541,0.304565959898789,0.3160471220367905,0.9931921331316188,0.41482138670364765,4.718271978483779e-06
