model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score
top,30,2,12,0.03590098357510751,0.04467800307054303,0.0462086789426568,0.16873889875666073
top,30,2,13,0.03595283069275541,0.044689388961147394,0.0468451502274407,0.17229129662522202
top,30,2,14,0.03637526082269788,0.044991928340063325,0.048280911032650885,0.17584369449378331
top,30,2,15,0.0365224847749156,0.04503421879087953,0.048889893524404246,0.17939609236234458
top,30,2,16,0.03671854298413567,0.0451082270798079,0.05082756508907403,0.1811722912966252
top,30,2,17,0.03658998720400154,0.04498415436013388,0.05082756508907403,0.1811722912966252
top,30,2,18,0.03664046295362519,0.04500156807517584,0.051123598244787474,0.18294849023090587
top,30,2,19,0.03666780214209651,0.04501714876758182,0.05130121813821553,0.18294849023090587
top,30,2,20,0.036617696519132145,0.04497508089808569,0.05130121813821553,0.18294849023090587
top,40,2,2,0.025632607391713545,0.050189393939393936,0.020380858341252726,0.08712121212121213
top,40,2,3,0.029276583674428407,0.04640151515151515,0.027989085241580967,0.10984848484848485
top,40,2,4,0.03100916519043927,0.04482323232323232,0.032742607182602905,0.12310606060606061
top,40,2,5,0.0318250719536162,0.043876262626262624,0.034759476183167555,0.13446969696969696
top,40,2,6,0.033458468660470406,0.04387626262626262,0.03884278765284266,0.14962121212121213
top,40,2,7,0.034105074462910646,0.04378607503607503,0.040853888925307565,0.1571969696969697
top,40,2,8,0.03568710056206979,0.04439484126984127,0.043853979112897755,0.16856060606060605
top,40,2,9,0.03645196485202551,0.04447375541125541,0.04576260815220862,0.17613636363636365
top,40,2,10,0.03760299944069377,0.044915674603174596,0.04839518390978437,0.18371212121212122
top,40,2,11,0.03756584621585473,0.04451966909353273,0.049228517243117706,0.1875
top,40,2,12,0.03757311723178317,0.04426140463072281,0.04981473657933704,0.1875
top,40,2,13,0.03778953844416207,0.044297826542144716,0.050770725035325495,0.19128787878787878
top,40,2,14,0.038099232634763204,0.044412295406613594,0.05220170146630194,0.19318181818181818
top,40,2,15,0.03826331637251491,0.044466407960726144,0.05285105211565258,0.19696969696969696
top,40,2,16,0.038322117221065925,0.04442695089001907,0.05470673010769421,0.19696969696969696
top,40,2,17,0.03819354519532986,0.04430161666542014,0.05470673010769421,0.19696969696969696
top,40,2,18,0.03825644940334821,0.04432018469869406,0.05502238667335077,0.19886363636363635
top,40,2,19,0.03816310605546025,0.044237117181416014,0.05502238667335077,0.19886363636363635
top,40,2,20,0.03811446490160403,0.04419226072208587,0.05502238667335077,0.19886363636363635
top,50,2,2,0.02743720456809073,0.05353319057815846,0.022574050664175362,0.09207708779443255
top,50,2,3,0.02933034575638233,0.046752319771591715,0.029040427494577886,0.10706638115631692
top,50,2,4,0.03137146782267278,0.046573875802997856,0.03295671701043914,0.12419700214132762
top,50,2,5,0.0318724929641694,0.044967880085653104,0.03487626427259882,0.13276231263383298
top,50,2,6,0.03445798980001872,0.046109921484653815,0.04054356655786307,0.15417558886509636
top,50,2,7,0.034983750623243944,0.045855001529519726,0.04268067550565346,0.16059957173447537
top,50,2,8,0.03539701841077787,0.04528143163046803,0.04440639090374573,0.16488222698072805
top,50,2,9,0.03639424009337815,0.04540039427619728,0.04686513249524964,0.17558886509635974
top,50,2,10,0.03766762041713468,0.045876244859114235,0.04984157789139524,0.1841541755888651
top,50,2,11,0.03750693004222298,0.04542851271973328,0.050481456969364756,0.18629550321199143
top,50,2,12,0.03751472380700514,0.0451040691404717,0.05114424885271338,0.18629550321199143
top,50,2,13,0.03792249532701794,0.04526878664994296,0.05241977561003886,0.19271948608137046
top,50,2,14,0.038117111336465566,0.04519819343159813,0.053918704946227296,0.1948608137044968
top,50,2,15,0.038188972528279706,0.045228783826214224,0.05430885516633091,0.19700214132762311
top,50,2,16,0.03859053494295039,0.04541614999323779,0.05695847773030037,0.2012847965738758
top,50,2,17,0.03840260712220321,0.04521933679258279,0.05695847773030037,0.2012847965738758
top,50,2,18,0.038636725317695804,0.045317306030242165,0.05785069757326969,0.20556745182012848
top,50,2,19,0.03878893761253593,0.04540496271656898,0.058283289012285106,0.20556745182012848
top,50,2,20,0.038681625696240014,0.04529789633541265,0.058283289012285106,0.20556745182012848
top,60,2,2,0.0239923206340475,0.045454545454545456,0.019439542970068814,0.07828282828282829
top,60,2,3,0.025717794369755152,0.041666666666666664,0.0227302786092893,0.09595959595959595
top,60,2,4,0.029124862341793307,0.04208754208754208,0.02781585661153397,0.11363636363636363
top,60,2,5,0.029797973332150746,0.04057239057239058,0.030428290473967834,0.12626262626262627
top,60,2,6,0.030909827203037823,0.040151515151515146,0.03503629222991968,0.1414141414141414
top,60,2,7,0.031415418862346306,0.04003126503126503,0.03730755174382625,0.14898989898989898
top,60,2,8,0.031988266314919,0.03976070226070225,0.039270525638618325,0.15656565656565657
top,60,2,9,0.0329947701283386,0.039795775212441875,0.043769428811763926,0.1691919191919192
top,60,2,10,0.033904619642403766,0.039992183742183746,0.04658994163227675,0.17929292929292928
top,60,2,11,0.033796996386467305,0.03964783112510385,0.04734454650452867,0.18181818181818182
top,60,2,12,0.03410145616995529,0.03953304691941055,0.04914829830828048,0.18434343434343434
top,60,2,13,0.034353891995532085,0.03956542195178558,0.0503774458442462,0.1893939393939394
top,60,2,14,0.034868890671455044,0.039842922229285864,0.05267620664816164,0.19696969696969696
top,60,2,15,0.03478095034991032,0.039770772157135786,0.052811632719416586,0.19696969696969696
top,60,2,16,0.03525722957795816,0.0400548630662267,0.05390709309518,0.20202020202020202
top,60,2,17,0.03515382365725142,0.039887750766761466,0.0541175308056177,0.20202020202020202
top,60,2,18,0.03536241779708639,0.03991250814446001,0.05516971935780626,0.20707070707070707
top,60,2,19,0.03555766700775905,0.03994942704102803,0.056661914031819104,0.20959595959595959
top,60,2,20,0.03564230628053455,0.03992284543549906,0.05750366487356995,0.20959595959595959
top,70,2,2,0.0134112869693259,0.025684931506849314,0.011288977832088227,0.04794520547945205
top,70,2,3,0.019436604111261645,0.028538812785388123,0.017422228143420728,0.07534246575342465
top,70,2,4,0.02352338213452026,0.029394977168949767,0.023700766956206116,0.09246575342465753
top,70,2,5,0.02427302729639999,0.029394977168949767,0.02602307364495116,0.1095890410958904
top,70,2,6,0.02406287495083131,0.02825342465753424,0.026836553353978814,0.11986301369863013
top,70,2,7,0.024788387609751772,0.028008806262230915,0.029584285074313273,0.1267123287671233
top,70,2,8,0.02555249113054787,0.028008806262230915,0.031506985661397424,0.136986301369863
top,70,2,9,0.02682888760319257,0.027770982822352686,0.038166041977987994,0.1506849315068493
top,70,2,10,0.028925512483975516,0.02879838008262666,0.04284069951223456,0.1678082191780822
top,70,2,11,0.028753447947268165,0.028237981577022675,0.043662617320453734,0.17123287671232876
top,70,2,12,0.02896146833108517,0.02797853782442823,0.045619564482880355,0.17465753424657535
top,70,2,13,0.029487405659376513,0.028176114220634766,0.047512138383385034,0.18493150684931506
top,70,2,14,0.029571171253333157,0.027893862226054004,0.049472304208907754,0.1815068493150685
top,70,2,15,0.029775797851133216,0.027893862226054004,0.050858475115626606,0.1815068493150685
top,70,2,16,0.0301013016824756,0.028122172728337114,0.05167603179790932,0.1815068493150685
top,70,2,17,0.030037513931719044,0.027983675548643318,0.0519614199257632,0.1815068493150685
top,70,2,18,0.030663412829672783,0.028274659522141386,0.05395913682074036,0.1917808219178082
top,70,2,19,0.030726652827060393,0.02818453695545069,0.05567146558786365,0.1952054794520548
top,70,2,20,0.031067950510854266,0.028337745318824874,0.05719353560308435,0.19863013698630136
top,80,2,2,0.017149575879734612,0.026455026455026454,0.01327790375409423,0.047619047619047616
top,80,2,3,0.020790291425212055,0.027336860670194002,0.01801041404216007,0.06878306878306878
top,80,2,4,0.023611896627769642,0.026895943562610228,0.024359620391366427,0.08465608465608465
top,80,2,5,0.02410855893217712,0.027689594356261022,0.026908218178059447,0.10052910052910052
top,80,2,6,0.021607537083727556,0.023985890652557313,0.026677261597896518,0.08994708994708994
top,80,2,7,0.023168762454476736,0.02436381960191484,0.03174780833510992,0.10582010582010581
top,80,2,8,0.024591686799903416,0.0254976064499874,0.034506689665419824,0.12169312169312169
top,80,2,9,0.02352809645567328,0.024101368942638784,0.034506689665419824,0.12169312169312169
top,80,2,10,0.025408115190168362,0.02515957000083984,0.038955944114674276,0.13756613756613756
top,80,2,11,0.02528149679705038,0.024678569519839353,0.04010862741021471,0.14285714285714285
top,80,2,12,0.026278596031729926,0.02527982012108996,0.043613059486075356,0.14814814814814814
top,80,2,13,0.026188020691599898,0.025076319917589757,0.04405397659365914,0.15343915343915343
top,80,2,14,0.027382415656692565,0.025686820528090366,0.04811671279925248,0.15343915343915343
top,80,2,15,0.027256637082814148,0.025510453685056854,0.04849464174861,0.15343915343915343
top,80,2,16,0.027579832889382337,0.025730912238848744,0.04949720326704454,0.15873015873015872
top,80,2,17,0.027586026023639933,0.02565310333751043,0.049978203748045014,0.15873015873015872
top,80,2,18,0.028194528464052897,0.025912466341971474,0.05218278928596389,0.1693121693121693
top,80,2,19,0.028371433560543013,0.025866054014857393,0.05482829193146654,0.1746031746031746
top,80,2,20,0.028247084914992032,0.025601503750307127,0.05621784887657904,0.17989417989417988
top,90,2,2,0.03209940386410975,0.052941176470588235,0.024710975299210593,0.09411764705882353
top,90,2,3,0.03595704948646125,0.047058823529411764,0.0315737203972498,0.11764705882352941
top,90,2,4,0.03958068075715135,0.045098039215686274,0.04039724980901451,0.1411764705882353
top,90,2,5,0.038971084343600075,0.046274509803921574,0.042142563319033904,0.16470588235294117
top,90,2,6,0.03399320594822324,0.039215686274509796,0.0386878480996128,0.1411764705882353
top,90,2,7,0.03589407324701442,0.039215686274509796,0.044080004962357894,0.16470588235294117
top,90,2,8,0.03614543038054238,0.0392156862745098,0.04590073325367442,0.18823529411764706
top,90,2,9,0.03435270436398764,0.036601307189542485,0.04590073325367442,0.18823529411764706
top,90,2,10,0.039017711886041875,0.03934640522875817,0.055793781382016676,0.21176470588235294
top,90,2,11,0.037746791713092295,0.037421271538918596,0.05667613432319315,0.21176470588235294
top,90,2,12,0.040229894547117194,0.03893642305407011,0.06446834211540094,0.2235294117647059
top,90,2,13,0.038965974951952,0.03765437177201883,0.0634879499585382,0.23529411764705882
